# Species	Genes	Alg.-Conn.	Pb_filNoH.faa	Pc_filNoH.faa	Pf_filNoH.faa	Pk_filNoH.faa	Pv_filNoH.faa	Py_filNoH.faa	Tg_filNoH.faa	h_tartakovskyi_filteredNoH.faa
8	15	0.115	1717_g,4836_g	1733_g,1612_g	1443_g,1561_g	1775_g,1673_g	1704_g,1587_g	2540_g	14_g,376_g	5_g,3117_g
8	14	0.114	888_g	682_g,618_g	3491_g,3555_g	635_g,705_g	658_g,592_g	4320_g,113_g	5768_g,6480_g	861_g
8	13	0.222	6791_g	3101_g	1275_g,2032_g,3715_g,663_g,2523_g	3167_g	3073_g	4205_g	9899_g,12624_g	2906_g
8	12	0.235	975_g	2221_g	2208_g	2282_g	5484_g,5485_g,2178_g,5571_g	1273_g	750_g,425_g	2402_g
8	12	0.126	3114_g	4216_g	3913_g,2682_g	4320_g	5549_g,5550_g,4227_g	647_g	807_g,1624_g	2646_g
8	11	0.727	534_g,749_g	3470_g	5161_g,3978_g	3550_g	3464_g	3011_g	10375_g,12149_g	2160_g
8	11	0.545	2286_g	4116_g	3083_g	4212_g	4133_g	3565_g	845_g,1662_g,2568_g,3249_g	2894_g
8	11	0.455	4130_g	1048_g	229_g	1081_g	1028_g	410_g	4925_g,5397_g,4924_g,5396_g	1273_g
8	11	0.166	2891_g	1992_g	117_g	2032_g	1951_g	1049_g	9297_g,13371_g,9298_g,13370_g	1550_g
8	11	0.147	2361_g	2485_g	2479_g	2558_g	2446_g	1528_g	4871_g,5343_g,9859_g,12665_g	127_g
8	10	0.455	5360_g,1135_g	4159_g	3120_g	4257_g	4174_g	3604_g	1994_g,2265_g	1661_g
8	10	0.382	5520_g,3408_g	2582_g	1067_g	2655_g	2557_g	2321_g	3433_g,2752_g	3414_g
8	10	0.286	6532_g,5453_g	4464_g	2621_g	4571_g	4469_g	3987_g	4769_g,5241_g	3390_g
8	10	0.279	4263_g	2107_g	812_g	2156_g	2066_g,5676_g	1160_g	10456_g,12803_g	2401_g
8	10	0.266	5516_g,1008_g	1393_g	1649_g	1438_g	1367_g	4802_g	9187_g,13478_g	1046_g
8	10	0.264	3936_g	178_g	4565_g	190_g	173_g	4356_g	9790_g,12734_g	1645_g,1644_g
8	10	0.2	850_g,5478_g	4188_g	3145_g	4285_g	4200_g	621_g	10566_g,11363_g	1890_g
8	10	0.2	979_g,5548_g	2638_g	737_g	2711_g	2614_g	722_g	9857_g,12667_g	2624_g
8	10	0.197	3284_g,6106_g	892_g	383_g	929_g	874_g	271_g	8391_g,4216_g	2992_g
8	10	0.194	2866_g	3346_g	853_g,1007_g	3417_g	3326_g	4506_g	7063_g,7853_g	2101_g
8	10	0.193	2028_g	2282_g	2270_g,3317_g	2350_g	2243_g	1334_g	6724_g,8185_g	2825_g
8	10	0.189	3894_g,1400_g	994_g	279_g	1026_g	978_g	360_g	11193_g,11990_g	1069_g
8	10	0.187	1449_g,6271_g	4663_g	2816_g	4772_g	4662_g	3796_g	10696_g,11493_g	650_g
8	10	0.172	5497_g,4099_g	1091_g	1942_g	1124_g	1071_g	452_g	2612_g,3293_g	2480_g
8	10	0.169	5470_g,910_g	4431_g	2586_g	4536_g	4434_g	4020_g	11173_g,11970_g	2213_g
8	10	0.166	3183_g,3242_g	2171_g	2154_g	2228_g	2128_g	1221_g	10593_g,11390_g	3229_g
8	10	0.161	771_g	3373_g	830_g	3452_g	3357_g	3335_g	6947_g,7964_g,14305_g	948_g
8	9	0.778	1023_g	3869_g	4109_g	3953_g	3862_g	2196_g	10025_g,12493_g	461_g
8	9	0.778	1124_g	2363_g	2352_g	2430_g	2323_g	1413_g	6821_g,8092_g	1251_g
8	9	0.778	1167_g	4068_g	3038_g	4161_g	4087_g	3517_g	9387_g,13282_g	2143_g
8	9	0.778	1761_g	377_g	604_g	385_g	367_g	1737_g	5833_g,6415_g	66_g
8	9	0.778	1885_g	4341_g	3791_g	4448_g	4351_g	2865_g	4758_g,5230_g	1296_g
8	9	0.778	1902_g	4245_g	3884_g	4361_g	4255_g	2315_g	5997_g,6254_g	374_g
8	9	0.778	2770_g	3685_g	3332_g	3773_g	3611_g	3050_g	2817_g,3498_g	917_g
8	9	0.778	2938_g	3866_g	4106_g	3950_g	3859_g	2199_g	6992_g,7920_g	459_g
8	9	0.778	3039_g	3635_g	3286_g	3719_g	3658_g	3098_g	10066_g,12455_g	1082_g
8	9	0.778	3060_g	3567_g	3220_g	3649_g	3721_g	3161_g	5702_g,6545_g	2533_g
8	9	0.778	3111_g	882_g	394_g	917_g	862_g	260_g	9130_g,13536_g	12_g
8	9	0.778	3132_g	959_g	314_g	991_g	944_g	326_g	405_g,769_g	1364_g
8	9	0.778	3311_g	3329_g	869_g	3399_g	3308_g	4489_g	4542_g,8557_g	3056_g
8	9	0.778	3314_g	409_g	574_g	420_g	396_g	1708_g	11291_g,12088_g	475_g
